Brezposelni;po;trajanju;iskanja;dela;po:;KOHEZIJSKA;REGIJA,;SPOL,;;;;;;;
BREZPOSELNI,;MERITVE;0;LETO;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Število;(v;1000);;;;;;;
;;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
SLOVENIJA;;;;;;;;;;;;;;;
;;Spol;-0;SKUPAJ;;;;;;;;;;;
;;;;;Manj kot 1 mesec;2;3;2;2;3;2;2;3;2;3
;;;;;Od 1 do 5 mesecev;16;25;24;26;25;25;24;22;20;20
;;;;;Od 6 do 10 mesecev;6;13;14;15;16;18;16;14;13;11
;;;;;Od 12 do 23 mesecev;9;10;19;20;22;23;22;20;18;14
;;;;;24 in veè mesecev;12;10;17;21;25;33;34;32;27;20
;;;;;;;;;;;;;;;
Vir:;Statistièni;urad;Republike;Slovenije.;;;;;;;;;;;
;;;;;;;;;;;;;;;
Povezane;vsebine:;;;;;;;;;;;;;;
-0;(seznam;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;
e=7788;target=_blank);Metodološka;pojasnila;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Podatki;so;teritorialno;razvršèeni;po;Klasifikaciji;statistiènih;;;;;;;;;
teritorialnih;enot;v;Evropski;uniji;(The;Classification;;of;;;;;;;
Territorial;Units;for;Statistics);–;NUTS;((seznam;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;;;;;;;
ije/klasifikacije;TARGET=_blank);opis;in;pojasnila),;raven;NUTS;2.;;;;;;;;
Podatki;o;spremembah;posameznih;kohezijskih;regij;so;dostopni;tudi;na;;;;;;
(seznam;HREF=http://www.stat.si/dokument/8483;TARGET=_blank);povezavi.;;;;;;;;;;;;
